ds,yhat,yhat_lower,yhat_upper,Country
1851-01-01,70473579.8284877,-328938053.7142602,448375232.60108185,United States
1852-01-01,92562505.36046995,-296773384.24823433,463985793.8699446,United States
1853-01-01,39174485.1678493,-341601022.5517757,421427297.444332,United States
1854-01-01,60386454.10265571,-292758944.36005855,429776694.9570134,United States
1855-01-01,82048333.36070862,-314857291.3564026,465371515.2739901,United States
1856-01-01,104137258.89223972,-292813912.54805285,472504265.92518795,United States
1857-01-01,50749238.70016405,-333105612.8946107,417624201.5488124,United States
1858-01-01,71961212.30055055,-307292557.24864864,427347433.84817094,United States
1859-01-01,93623096.22478794,-296238428.0362941,439028666.8516171,United States
1860-01-01,115712026.42281032,-251461385.2207308,517049735.39816326,United States
1861-01-01,62324010.90961313,-330714094.194785,420134236.36273235,United States
1862-01-01,83535984.51047692,-298921914.98815423,461687620.8274535,United States
1863-01-01,105197868.43420212,-260167719.0460154,464972722.7052336,United States
1864-01-01,127286798.63211131,-260708138.44597134,496305281.2488153,United States
1865-01-01,74750142.04183155,-318696886.0858216,454948185.19814354,United States
1866-01-01,96811148.44804141,-274971281.6629391,468197631.6331569,United States
1867-01-01,119322065.17760216,-264196136.0106431,489536717.7725618,United States
1868-01-01,142260028.18131363,-242870526.9793689,522534086.4463553,United States
1869-01-01,89723371.59080055,-263913656.05331597,461207672.70927364,United States
1870-01-01,111784377.99688712,-254974788.93090287,502585831.36932194,United States
1871-01-01,134295294.7267607,-241577098.53381893,507583563.0833366,United States
1872-01-01,162690524.90986872,-210044108.7286456,544018418.730867,United States
1873-01-01,115626086.9161278,-269485599.1751308,490700942.861075,United States
1874-01-01,143144360.5023157,-223675169.78456575,537751917.0307834,United States
1875-01-01,171112544.41150278,-196007300.03210366,546216512.1028516,United States
1876-01-01,199507774.59470242,-148564181.78698036,572132864.6281406,United States
1877-01-01,152443336.60080516,-230054658.12311885,513165707.1124976,United States
1878-01-01,179961610.18702528,-190212432.27340248,561568751.4314541,United States
1879-01-01,215838720.44711596,-157474049.0076146,572199319.4809089,United States
1880-01-01,252142876.9814371,-134141149.87273608,632428538.3349838,United States
1881-01-01,213009033.62966284,-196176739.143309,592067692.628538,United States
1882-01-01,248436233.56617472,-127903045.69626309,605022677.7525871,United States
1883-01-01,284313343.8265597,-101573237.1667746,643056422.6406333,United States
1884-01-01,320617500.36071277,-39278717.49518699,692365999.9320341,United States
1885-01-01,281483657.00869477,-98318938.77796392,653034313.9376123,United States
1886-01-01,324807004.9348947,-42101985.2290891,695904279.8580861,United States
1887-01-01,368580263.18448764,4055820.214007507,750547554.6450624,United States
1888-01-01,412780567.7077462,52329400.00017616,760523756.665029,United States
1889-01-01,381564505.6275482,30456912.029051222,765238584.917689,United States
1890-01-01,424887853.55373865,47380012.88931997,788822225.4446994,United States
1891-01-01,468661111.80303705,94492602.72814701,844568374.6491667,United States
1892-01-01,512861416.3266742,101135589.58663091,874805583.3018074,United States
1893-01-01,481645354.2463032,139202544.29317814,880472683.7426947,United States
1894-01-01,530171061.6518873,139411015.7226008,922084093.5568415,United States
1895-01-01,579146679.3807921,212482980.73378062,949963215.3532897,United States
1896-01-01,628549343.3840392,239899126.7917811,1019137970.7395205,United States
1897-01-01,602549893.8231266,234018149.2453064,975870102.8505408,United States
1898-01-01,651075601.2286386,266048239.28750187,1001069488.166657,United States
1899-01-01,700051218.9579142,321014765.7562006,1087256951.859517,United States
1900-01-01,749453882.9607983,374540333.302936,1127956931.297072,United States
1901-01-01,799260026.512661,436546065.5493728,1218853539.7814748,United States
1902-01-01,849445414.067126,471854075.75805426,1238964021.0869877,United States
1903-01-01,899985176.9034425,548084658.5268989,1250413204.5744352,United States
1904-01-01,950853849.3631215,593715910.2349266,1290766777.5141683,United States
1905-01-01,920164566.5456765,546246774.8915391,1317814838.4409285,United States
1906-01-01,970349954.1002084,579330242.4211617,1335786124.6916277,United States
1907-01-01,1020889716.936877,649797965.1798085,1396539687.1288543,United States
1908-01-01,1071758390.5760182,718221897.6143063,1454307218.7835565,United States
1909-01-01,1041069108.9417878,688173531.0470058,1423977175.962781,United States
1910-01-01,1091254497.676536,697672770.1149523,1453615055.8475418,United States
1911-01-01,1141794261.6926928,775304301.6840557,1516005237.4161909,United States
1912-01-01,1192662935.3319225,836070539.5555412,1579300331.464247,United States
1913-01-01,1161973653.6977353,777152973.0294274,1555342063.6607008,United States
1914-01-01,1212159042.4323502,821314804.5467609,1575428994.8593812,United States
1915-01-01,1262698807.0578814,878938068.9807681,1652958012.7156963,United States
1916-01-01,1313567481.3062727,911801806.4891441,1693076152.296497,United States
1917-01-01,1282878200.2827895,875013346.8688648,1658857357.6629486,United States
1918-01-01,1333063589.6264412,936558562.2645832,1715458093.0904274,United States
1919-01-01,1383603354.25208,994409907.9712389,1804905347.3473115,United States
1920-01-01,1434472028.5005608,1063031134.6510124,1813523524.6265872,United States
1921-01-01,1403782747.4771562,1002200579.3625438,1782994401.3777802,United States
1922-01-01,1453968136.936266,1056883735.48907,1879533949.3843665,United States
1923-01-01,1504507901.6771498,1110880425.8011875,1861489483.5308502,United States
1924-01-01,1555376576.0410776,1174989817.930917,1966631850.890377,United States
1925-01-01,1524687295.1333537,1123705276.7168717,1933917516.853359,United States
1926-01-01,1574872684.5922134,1165443762.9312756,1934357098.6145163,United States
1927-01-01,1625412449.3331141,1260642411.1082587,2000736554.2217803,United States
1928-01-01,1676281123.6970608,1290645092.9271078,2073934957.5641096,United States
1929-01-01,1648839302.0207303,1280788755.477108,2053244394.1780515,United States
1930-01-01,1702263277.8717523,1334172233.2962186,2068564884.8613102,United States
1931-01-01,1756041629.0046012,1405996266.1605732,2107422058.620576,United States
1932-01-01,1810148889.7604856,1408595746.8016918,2199182156.499694,United States
1933-01-01,1782707068.0840645,1406047538.697566,2154683046.540977,United States
1934-01-01,1836131043.9350944,1477490762.4950583,2222351228.6716065,United States
1935-01-01,1889909395.0677664,1503392175.8195257,2290170957.743768,United States
1936-01-01,1959801119.903387,1568228188.33624,2354873431.287985,United States
1937-01-01,1948187007.4137354,1581350125.5128477,2291663580.509111,United States
1938-01-01,2017395447.344451,1639275392.6705418,2387256396.7004275,United States
1939-01-01,2086958262.5569735,1702375956.477259,2473818068.943715,United States
1940-01-01,2156849987.3925557,1762995532.942486,2551398200.087664,United States
1941-01-01,2145235874.902975,1777399516.9587862,2523952480.4619474,United States
1942-01-01,2214444314.8336716,1844361430.3177521,2574430796.7966876,United States
1943-01-01,2296636932.7140813,1917977267.7717497,2684210721.7091045,United States
1944-01-01,2379158460.217531,1975754245.6293542,2732442019.0260134,United States
1945-01-01,2380208752.5949965,2032598153.0504713,2776848716.1160984,United States
1946-01-01,2462046995.1936526,2071774226.2771313,2829878671.7750053,United States
1947-01-01,2544239613.074135,2158893914.8392954,2928117892.466102,United States
1948-01-01,2626761140.5775323,2254070832.173995,2997630186.171931,United States
1949-01-01,2627811432.9550037,2245816587.808345,3022761195.898695,United States
1950-01-01,2709649675.553644,2346930302.7891617,3070438638.4613733,United States
1951-01-01,2792727330.9905157,2420356069.335401,3183410999.3018603,United States
1952-01-01,2876133896.0502863,2478211112.507583,3265692315.56918,United States
1953-01-01,2878071650.7446003,2492551571.4327326,3253938156.3004875,United States
1954-01-01,2960794930.8995423,2580952843.498687,3318200803.1694326,United States
1955-01-01,3043872586.3364086,2645105704.224786,3419205083.1319747,United States
1956-01-01,3127279151.396231,2761908852.8038054,3497295754.1479063,United States
1957-01-01,3129216906.090498,2768629042.5519648,3510432836.248585,United States
1958-01-01,3211940325.1086397,2846781580.598556,3595730265.2696495,United States
1959-01-01,3295018119.408589,2918378199.798975,3671673825.3146563,United States
1960-01-01,3378424823.331563,2982669842.7975917,3766431474.0421286,United States
1961-01-01,3380362717.2694235,3014351073.2664,3762368850.0330777,United States
1962-01-01,3463086136.2875547,3099091465.6962523,3860753714.3303275,United States
1963-01-01,3546163930.5875354,3171907257.940603,3921419656.381343,United States
1964-01-01,3629570634.510517,3229884198.674061,4007208419.60178,United States
1965-01-01,3631508528.419987,3251652516.877171,3984078892.5091,United States
1966-01-01,3714231947.409829,3331278029.784141,4080410174.187667,United States
1967-01-01,3797309741.68151,3445747906.705529,4146631517.5371614,United States
1968-01-01,3880716445.5761967,3498820340.874078,4252535569.129187,United States
1969-01-01,3882654339.4856606,3505603505.126673,4242289143.088228,United States
1970-01-01,3965377758.4755096,3580043320.3938003,4344391576.194027,United States
1971-01-01,4048455552.747185,3651633336.0594163,4421795174.3151865,United States
1972-01-01,4131862256.2465878,3740732952.353072,4522917409.306252,United States
1973-01-01,4133800149.759693,3742468948.9172916,4476555811.87759,United States
1974-01-01,4216523568.3542705,3821298415.6226273,4608842428.092568,United States
1975-01-01,4299601362.230657,3934661162.119346,4648589830.432775,United States
1976-01-01,4383008065.730059,3997406504.8333244,4765135837.813126,United States
1977-01-01,4384945959.243167,3994412980.684275,4748737057.295069,United States
1978-01-01,4467669377.8377495,4090435285.8778505,4840791784.475111,United States
1979-01-01,4521945844.276891,4141347824.272749,4886942088.619394,United States
1980-01-01,4576551220.339053,4213021512.3725243,4993509327.106364,United States
1981-01-01,4549608878.668532,4186738899.9700274,4909550198.850819,United States
1982-01-01,4603530969.825846,4230275914.4353876,4992216843.614523,United States
1983-01-01,4657807436.264997,4284101980.3668165,5075484268.248254,United States
1984-01-01,4712412812.3271885,4342493213.101952,5077348931.595104,United States
1985-01-01,4685470470.656622,4304374472.197474,5073207274.37318,United States
1986-01-01,4739392561.813991,4378442988.829481,5116111060.248543,United States
1987-01-01,4793669028.253082,4437604765.405767,5192647733.622989,United States
1988-01-01,4848274404.315283,4430166830.758759,5257876883.434344,United States
1989-01-01,4821332062.644708,4425334124.679251,5192912830.986752,United States
1990-01-01,4875254153.80208,4462176450.85915,5234310455.777628,United States
1991-01-01,4929530620.241244,4566976170.880405,5328192663.105024,United States
1992-01-01,4984135996.303369,4612903266.624804,5365746596.833921,United States
1993-01-01,4957193654.632825,4559486520.61142,5318578555.90652,United States
1994-01-01,5011115745.790182,4644814669.438269,5354466691.816737,United States
1995-01-01,5065392212.229366,4700832287.278763,5443803390.871871,United States
1996-01-01,5119997588.291492,4737474788.0852995,5483781636.207385,United States
1997-01-01,5093055246.620992,4712980488.253443,5457218549.229623,United States
1998-01-01,5146977337.77828,4800508512.499067,5527561914.7304325,United States
1999-01-01,5201253804.217444,4823643744.823123,5575967446.546658,United States
2000-01-01,5255859180.279729,4864314030.502851,5671627447.881362,United States
2001-01-01,5228916838.609131,4873697003.09354,5609207913.6182785,United States
2002-01-01,5282838929.766475,4905520542.925858,5670208766.404973,United States
2003-01-01,5337115396.205661,4995630787.757524,5726006385.432315,United States
2004-01-01,5391720772.267666,5014512553.114564,5751641247.138826,United States
2005-01-01,5364778430.597311,4969229497.355737,5727620696.944988,United States
2006-01-01,5418700521.7544985,5038041381.340069,5799184227.972321,United States
2007-01-01,5472976988.19369,5077432051.855734,5856762264.024427,United States
2008-01-01,5527582364.255881,5138286298.662756,5926880340.459631,United States
2009-01-01,5500640022.585292,5125372175.700494,5888813454.155364,United States
2010-01-01,5554562113.742651,5173841337.394112,5917854140.425883,United States
2011-01-01,5608838580.181834,5220800204.338143,6007339061.5257,United States
2012-01-01,5663443956.243989,5305273835.956953,6058856895.95448,United States
2013-01-01,5636501614.573528,5277697191.276165,6046999157.400724,United States
2014-01-01,5690423705.73089,5325542817.246937,6053328180.754016,United States
2015-01-01,5744700172.169854,5378560245.437721,6078724861.365501,United States
2016-01-01,5799305548.232103,5420696500.307562,6160073076.157764,United States
2017-01-01,5772363206.56152,5428829461.659248,6142708498.73041,United States
2018-01-01,5826285297.718859,5473244965.996213,6221912352.499432,United States
2019-01-01,5880561764.158079,5476425284.291599,6266266273.389761,United States
2020-01-01,5935167140.220234,5552519857.2752285,6317019316.848562,United States
2021-01-01,5908224798.549668,5532202231.123302,6298618747.591931,United States
2022-01-01,5962146889.707136,5604964079.537784,6333306476.833477,United States
2023-01-01,6016423356.146271,5664388359.07923,6410015282.8860035,United States
2023-12-31,6156349651.597491,5786067685.3436575,6527588380.477963,United States
2024-12-31,6125936992.6408825,5743967141.705771,6476318134.189374,United States
2025-12-31,6181121590.87459,5796108768.734891,6573302956.785109,United States
2026-12-31,6236555498.171622,5859531498.167702,6597017436.391397,United States
2027-12-31,6292211243.585467,5933686375.891513,6638499987.706941,United States
2028-12-31,6261798584.629014,5888782577.75114,6635154981.748472,United States
2029-12-31,6316983182.862897,5952299450.846916,6696868721.517331,United States
2030-12-31,6372417090.159703,5975763717.463702,6733466961.140709,United States
2031-12-31,6428072835.573878,6070399453.9784775,6801906191.542983,United States
2032-12-31,6397660176.617359,6016085186.119956,6791654657.172589,United States
2033-12-31,6452844774.850855,6072833045.311022,6830198530.581159,United States
2034-12-31,6508278682.148205,6143430027.623705,6873853371.554184,United States
2035-12-31,6563934427.561915,6183861287.422266,6942125134.436823,United States
2036-12-31,6533521768.605226,6163534642.47174,6916437498.174449,United States
2037-12-31,6588706366.838759,6207566544.209204,6976310044.519519,United States
2038-12-31,6644140274.136104,6249978890.243793,7023994872.78525,United States
2039-12-31,6699796019.549769,6327949633.881125,7096625902.442842,United States
2040-12-31,6669383360.593318,6279550805.325166,7060336061.599614,United States
2041-12-31,6724567958.827162,6338683067.689513,7116003415.635739,United States
2042-12-31,6780001866.1240635,6374131994.920891,7170808213.789846,United States
2043-12-31,6835657611.5382395,6443880586.093508,7249804119.881584,United States
2044-12-31,6805244952.581775,6406861938.031525,7218479040.834886,United States
2045-12-31,6860429550.815199,6484385350.244576,7251211685.04824,United States
2046-12-31,6915863458.112179,6522861772.320017,7323439649.577699,United States
2047-12-31,6971519203.526277,6562006144.268517,7377162415.756723,United States
2048-12-31,6941106544.569704,6567669299.936712,7343676401.494632,United States
2049-12-31,6996291142.803117,6585894807.863404,7408106724.127398,United States
2050-12-31,7051725050.100349,6653023399.641629,7466321014.888285,United States
2051-12-31,7107380795.514189,6702882099.023674,7527794483.758184,United States
2052-12-31,7076968136.557646,6676014191.018255,7496544416.239345,United States
1858-01-01,-16361974.571670353,-104112393.4211817,67434841.76423638,India
